"Time","images_score_v2.lance / get_range","images_v6.lance / get_range","manual_image_appraisal_v1.lance / get_range","manual_skeet_appraisal_v1.lance / get_range","images_score_v2.lance / get","images_v6.lance / get","manual_image_appraisal_v1.lance / get","manual_skeet_appraisal_v1.lance / get","validate_v1.lance / get","images_score_v2.lance / head","images_score_v2.lance / list","images_v6.lance / list","manual_image_appraisal_v1.lance / list","manual_skeet_appraisal_v1.lance / list","validate_v1.lance / list","images_score_v2.lance / put"
1777393020000,0,1.3333185186831256,undefined,undefined,53.33274074732502,297.330029666337,0,0,0,0,7.999911112098753,9.33322963078188,3.9999555560493767,3.9999555560493767,3.9999555560493767,0
1777393080000,0,1.3333185186831256,undefined,undefined,53.33274074732502,297.330029666337,0,0,0,0,6.666592593415627,7.999911112098753,2.666637037366251,2.666637037366251,2.666637037366251,0
1777393140000,0,1.333325925967078,undefined,undefined,53.333037038683116,297.3316814906584,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777393200000,0,0,undefined,undefined,0,0,0,0,0,0,11.999933333703702,5.333303703868312,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777393260000,0,0,undefined,undefined,0,0,0,0,0,0,13.333185186831255,6.666592593415627,6.666592593415627,6.666592593415627,6.666592593415627,6.666592593415627
1777393320000,0,0,undefined,undefined,0,0,0,0,0,0,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,0
1777393380000,1.3333185186831256,1.3333185186831256,undefined,undefined,46.6661481539094,266.6637037366251,0,0,0,0,6.666592593415627,6.666592593415627,3.9999555560493767,3.9999555560493767,3.9999555560493767,0
1777393440000,1.333325925967078,2.666651851934156,undefined,undefined,57.33301481658435,562.6635407581069,0,0,0,0,10.666607407736624,11.999933333703702,3.999977777901234,3.999977777901234,3.999977777901234,0
1777393500000,1.3333333333333333,2.6666666666666665,undefined,undefined,57.33333333333333,562.6666666666666,0,0,0,0,9.333333333333332,10.666666666666666,2.6666666666666665,2.6666666666666665,2.6666666666666665,0
1777393560000,0,2.6666666666666665,undefined,undefined,22.666666666666664,613.3333333333333,0,0,0,0,28,17.333333333333332,6.666666666666666,6.666666666666666,6.666666666666666,13.333333333333332
1777393620000,0,1.3333333333333333,undefined,undefined,12,317.3333333333333,0,0,0,0,24,12,6.666666666666666,6.666666666666666,6.666666666666666,13.333333333333332
1777393680000,0,1.3333333333333333,undefined,undefined,12,317.3333333333333,0,0,0,0,25.333333333333332,13.333333333333332,8,8,8,13.333333333333332
1777393740000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777393800000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777393860000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777393920000,0,1.3333333333333333,undefined,undefined,6.666666666666666,268,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777393980000,0,1.3333333333333333,undefined,undefined,6.666666666666666,268,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777394040000,0,1.333325925967078,undefined,undefined,6.6666296298353895,267.99851111938267,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777394100000,3.999977777901234,1.333325925967078,undefined,undefined,47.999733334814806,265.3318592674485,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777394160000,3.999977777901234,2.666651851934156,undefined,undefined,58.666340742551434,562.6635407581069,0,0,0,0,18.666562963539093,13.333259259670779,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777394220000,4,2.6666666666666665,undefined,undefined,58.666666666666664,562.6666666666666,0,0,0,0,18.666666666666664,13.333333333333332,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777394280000,0,1.3333333333333333,undefined,undefined,10.666666666666666,297.3333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777394340000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777394400000,0,1.3333333333333333,undefined,undefined,12,318.66666666666663,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777394460000,0,1.3333333333333333,undefined,undefined,12,318.66666666666663,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
