"Time","get_range / B","put / A"
1777406400000,7955,601.2
1777406460000,NaN,NaN
1777406520000,4926,NaN
1777406580000,3776,NaN
1777406640000,3776,NaN
1777406700000,1476,NaN
1777406760000,NaN,NaN
1777406820000,NaN,NaN
1777406880000,NaN,NaN
1777406940000,NaN,NaN
1777407000000,NaN,NaN
1777407060000,NaN,NaN
1777407120000,4833,NaN
1777407180000,3683.9795334470364,NaN
1777407240000,3684,NaN
1777407300000,1386,NaN
1777407360000,NaN,NaN
1777407420000,NaN,NaN
1777407480000,NaN,NaN
1777407540000,7854.999999999999,567
1777407600000,7854.999999999999,567
1777407660000,7854.999999999999,567
1777407720000,5199.500000000001,NaN
1777407780000,6117.999999999999,601.4
1777407840000,6117.999999999999,601.4
1777407900000,7954.999999999999,601.4
1777407960000,NaN,NaN
1777408020000,NaN,NaN
1777408080000,NaN,NaN
1777408140000,NaN,NaN
1777408200000,8051,634.4000000000001
1777408260000,8051,634.4000000000001
1777408320000,8487,634.4000000000001
1777408380000,8923,NaN
1777408440000,5200,NaN
1777408500000,1477,NaN
1777408560000,1477,NaN
1777408620000,NaN,NaN
1777408680000,1042.6267210214598,495.5
1777408740000,1061.3685120076277,601.6
1777408800000,1061.3685120076277,601.6
1777408860000,1125.829365079365,672.3333333333333
1777408920000,3914.333333333333,NaN
1777408980000,3914.333333333333,NaN
1777409040000,4924.5,601.4
1777409100000,7955.000000000001,601.4
1777409160000,7955.000000000001,601.4
1777409220000,NaN,NaN
1777409280000,NaN,NaN
1777409340000,NaN,NaN
1777409400000,NaN,NaN
1777409460000,NaN,NaN
1777409520000,3914.333333333333,NaN
1777409580000,3914.333333333333,NaN
1777409640000,3914.333333333333,NaN
1777409700000,7955,601.6
1777409760000,7955,601.6
1777409820000,8002.9555391358945,617.9965666857407
1777409880000,8051,634.4000000000001
1777409940000,8051,634.4000000000001
1777410000000,8146.045255555555,667.0037055555555
1777410060000,8145.999999999999,667
1777410120000,4959.25,667
1777410180000,3291.75,NaN
1777410240000,3291.7500000000005,NaN
1777410300000,1476,NaN
1777410360000,NaN,NaN
1777410420000,NaN,NaN
1777410480000,NaN,NaN
1777410540000,NaN,NaN
1777410600000,NaN,NaN
1777410660000,NaN,NaN
1777410720000,5040,NaN
1777410780000,5040,NaN
1777410840000,3822,NaN
1777410900000,4620,567.2
1777410960000,4620,567.2
1777411020000,7903,583.5
1777411080000,8000.5,616.2
1777411140000,8000.5,616.2
